Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,Visa Debit,Mastercard Credit,Visa Credit,Mastercard Business Debit,Visa Business Debit,MCC Category,MCC Category group,Total Annual Transaction Fees,Current Provider Grouped
20000,10,No,No,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.06300000000000001,Miscellaneous Stores,Miscellaneous Stores,350.00000000000006,None
2500000,8000,Yes,No,11.54,11.54,23.06,23.06,30.26,30.26,Miscellaneous Stores,Miscellaneous Stores,11131.25,None
500000,4000,Yes,No,5.779999999999999,5.779999999999999,11.54,11.54,15.14,15.14,Professional Services and Membership Organizations,Other,2227.5,None
10000,1000,No,No,5.3999999999999995,5.3999999999999995,5.3999999999999995,5.3999999999999995,5.3999999999999995,5.3999999999999995,Contracted Services,Other,150.0,None
50000,5000,Yes,No,18.0,18.0,18.0,18.0,18.0,18.0,Retail Outlet Services,Other,500.0,None
250000,30,Yes,No,0.07212,0.07212,0.12612,0.12612,0.21900000000000003,0.21900000000000003,Retail Outlet Services,Other,1393.0,None
150000,30,No,Yes,0.07400000000000001,0.07400000000000001,0.11180000000000001,0.11180000000000001,0.1496,0.1496,Retail Outlet Services,Other,913.0000000000001,Other
45000,15,No,Yes,0.07646,0.07646,0.09860000000000002,0.09860000000000002,0.1688,0.1688,Miscellaneous Stores,Miscellaneous Stores,400.65,Other
12000,15,No,No,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,Retail Outlet Services,Other,120.00000000000001,None
480000,2,No,Yes,0.007128,0.007128,0.007128,0.007128,0.014328000000000002,0.014328000000000002,Retail Outlet Services,Other,4847.999999999999,Other
200000,1000,Yes,Yes,2.0,2.0,3.2600000000000002,3.2600000000000002,4.52,4.52,Business Services,Other,1188.0000000000002,Other
300000,750,Yes,Yes,1.154,1.154,2.18,2.18,2.99,2.99,Retail Outlet Services,Other,1399.9999999999998,Other
550000,55,Yes,Yes,0.10722000000000001,0.10722000000000001,0.20622000000000001,0.20622000000000001,0.37650000000000006,0.37650000000000006,Professional Services and Membership Organizations,Other,2814.6000000000004,Other
10000,5,No,No,0.027,0.027,0.027,0.027,0.027,0.027,Transportation Services,Other,150.0,None
5000,5,No,No,0.03150000000000001,0.03150000000000001,0.03150000000000001,0.03150000000000001,0.03150000000000001,0.03150000000000001,Professional Services and Membership Organizations,Other,87.50000000000001,None
80000,500,Yes,Yes,0.932,0.932,1.6700000000000002,1.6700000000000002,4.010000000000001,4.010000000000001,Miscellaneous Stores,Miscellaneous Stores,453.6,Other
100000,100,Yes,No,0.36,0.36,0.36,0.36,0.36,0.36,Miscellaneous Stores,Miscellaneous Stores,1000.0,None
200000,20,Yes,Yes,0.12168,0.12168,0.12168,0.12168,0.12168,0.12168,Miscellaneous Stores,Miscellaneous Stores,3379.9999999999995,Other
28000,10,No,No,0.054,0.054,0.054,0.054,0.054,0.054,Retail Outlet Services,Other,420.0,None
250000,8,Yes,Yes,0.03296,0.03296,0.04304,0.04304,0.05312,0.05312,Retail Outlet Services,Other,1855.0000000000002,Other
100000,10,No,No,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,Miscellaneous Stores,Miscellaneous Stores,1000.0,None
20000,10,Yes,Yes,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,Business Services,Other,200.0,Other
730000,80,Yes,Yes,0.17096,0.17096,0.27464,0.27464,0.338,0.338,Miscellaneous Stores,Miscellaneous Stores,3817.1699999999996,Other
10000,20,Yes,Yes,0.12168,0.12168,0.12168,0.12168,0.12168,0.12168,Miscellaneous Stores,Miscellaneous Stores,168.99999999999997,Other
25000,50,No,No,0.27,0.27,0.27,0.27,0.27,0.27,Business Services,Other,375.0,None
200,28,Yes,Yes,0.170352,0.170352,0.170352,0.170352,0.170352,0.170352,Professional Services and Membership Organizations,Other,3.38,Other
80000,50,Yes,Yes,0.30419999999999997,0.30419999999999997,0.30419999999999997,0.30419999999999997,0.30419999999999997,0.30419999999999997,Miscellaneous Stores,Miscellaneous Stores,1351.9999999999998,Other
50000,20,No,No,0.108,0.108,0.108,0.108,0.108,0.108,Retail Outlet Services,Other,750.0,None
300000,20,Yes,Yes,0.05808,0.05808,0.09408,0.09408,0.15600000000000003,0.15600000000000003,Miscellaneous Stores,Miscellaneous Stores,1821.6000000000001,Other
12000,2000,Yes,No,7.2,7.2,7.2,7.2,7.2,7.2,Travel,Other,120.00000000000001,None
100000,400,No,Yes,0.812,0.812,1.3160000000000003,1.3160000000000003,1.82,1.82,Miscellaneous Stores,Miscellaneous Stores,597.0000000000001,Other
70000,20,No,Yes,0.08528,0.08528,0.11480000000000001,0.11480000000000001,0.20840000000000003,0.20840000000000003,Miscellaneous Stores,Miscellaneous Stores,564.9,Other
300000,10,Yes,Yes,0.0444,0.0444,0.062400000000000004,0.062400000000000004,0.066,0.066,Miscellaneous Stores,Miscellaneous Stores,2256.0,Other
800000,40,Yes,Yes,0.06032000000000001,0.06032000000000001,0.12079999999999999,0.12079999999999999,0.164,0.164,Miscellaneous Stores,Miscellaneous Stores,3024.0,Other
2100000,3000,Yes,Yes,4.477999999999999,4.477999999999999,8.15,8.15,10.850000000000001,10.850000000000001,Miscellaneous Stores,Miscellaneous Stores,9464.0,Other
25000,350,No,Yes,2.1294,2.1294,2.1294,2.1294,2.1294,2.1294,Agricultural Services,Other,422.49999999999994,Other
37908,10000,Yes,Yes,54.0,54.0,54.0,54.0,54.0,54.0,Contracted Services,Other,568.62,Other
1000000,500,Yes,No,0.5240000000000001,0.5240000000000001,1.2799999999999998,1.2799999999999998,1.82,1.82,Business Services,Other,3320.0,None
120000,15,Yes,Yes,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,Miscellaneous Stores,Miscellaneous Stores,1200.0,Other
5000,250,No,No,1.521,1.521,1.521,1.521,1.521,1.521,Business Services,Other,84.49999999999999,None
640000,80,No,No,0.12079999999999999,0.12079999999999999,0.236,0.236,0.30800000000000005,0.30800000000000005,Business Services,Other,2688.0,None
50000,310,Yes,Yes,0.59684,0.59684,1.0544000000000002,1.0544000000000002,2.5052000000000003,2.5052000000000003,Miscellaneous Stores,Miscellaneous Stores,286.56451612903226,Other
300000,150,No,Yes,0.24679999999999996,0.24679999999999996,0.452,0.452,0.6140000000000001,0.6140000000000001,Transportation Services,Other,1431.9999999999998,Other
50000,11,Yes,No,0.04574,0.04574,0.06158000000000001,0.06158000000000001,0.07544000000000001,0.07544000000000001,Miscellaneous Stores,Miscellaneous Stores,439.4090909090909,None
48000,3000,Yes,Yes,5.342,5.342,9.770000000000001,9.770000000000001,23.810000000000002,23.810000000000002,Contracted Services,Other,268.16,Other
4000,73,Yes,No,0.23024000000000003,0.23024000000000003,0.23024000000000003,0.23024000000000003,0.7032800000000002,0.7032800000000002,Retail Outlet Services,Other,34.5358904109589,None
120000,15,No,Yes,0.047,0.047,0.0659,0.0659,0.08480000000000001,0.08480000000000001,Miscellaneous Stores,Miscellaneous Stores,810.4,Other
8000,30,No,No,0.162,0.162,0.162,0.162,0.162,0.162,Miscellaneous Stores,Miscellaneous Stores,119.99999999999999,None
250000,3000,Yes,No,16.2,16.2,16.2,16.2,16.2,16.2,Retail Outlet Services,Other,3750.0,None
2500,30,No,No,0.18252,0.18252,0.18252,0.18252,0.18252,0.18252,Miscellaneous Stores,Miscellaneous Stores,42.24999999999999,None
1000,190,Yes,No,1.1559599999999999,1.1559599999999999,1.1559599999999999,1.1559599999999999,1.1559599999999999,1.1559599999999999,Professional Services and Membership Organizations,Other,16.9,None
5000,20,No,No,0.108,0.108,0.108,0.108,0.108,0.108,Miscellaneous Stores,Miscellaneous Stores,75.0,None
200000,10,Yes,Yes,0.0362,0.0362,0.050600000000000006,0.050600000000000006,0.061399999999999996,0.061399999999999996,Miscellaneous Stores,Miscellaneous Stores,1392.0000000000002,Other
100000,150,No,No,0.246,0.246,0.5700000000000001,0.5700000000000001,1.1640000000000001,1.1640000000000001,Retail Outlet Services,Other,502.0,None
170000,12,Yes,Yes,0.046848,0.046848,0.06844800000000001,0.06844800000000001,0.10560000000000003,0.10560000000000003,Miscellaneous Stores,Miscellaneous Stores,1202.24,Other
1000,25,No,No,0.15209999999999999,0.15209999999999999,0.15209999999999999,0.15209999999999999,0.15209999999999999,0.15209999999999999,Business Services,Other,16.9,None
80000,30,No,Yes,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.10800000000000001,Agricultural Services,Other,800.0,Other
1200000,30,Yes,Yes,0.0932,0.0932,0.13424000000000003,0.13424000000000003,0.27680000000000005,0.27680000000000005,Retail Outlet Services,Other,7572.799999999999,Other
200000,17,No,No,0.10710000000000003,0.10710000000000003,0.10710000000000003,0.10710000000000003,0.10710000000000003,0.10710000000000003,Miscellaneous Stores,Miscellaneous Stores,3500.0000000000005,None
25000,50,No,No,0.18,0.18,0.18,0.18,0.18,0.18,Miscellaneous Stores,Miscellaneous Stores,250.0,None
1500000,400,Yes,Yes,0.5484,0.5484,1.1964000000000001,1.1964000000000001,2.4635999999999996,2.4635999999999996,Miscellaneous Stores,Miscellaneous Stores,6451.5,Other
350000,10,Yes,Yes,0.06548000000000001,0.06548000000000001,0.07988,0.07988,0.08600000000000001,0.08600000000000001,Retail Outlet Services,Other,3406.9,Other
250000,8000,Yes,Yes,12.434000000000001,12.434000000000001,23.954,23.954,28.85,28.85,Miscellaneous Stores,Miscellaneous Stores,1185.0625,Other
150000,9,Yes,Yes,0.06296,0.06296,0.075272,0.075272,0.11804,0.11804,Miscellaneous Stores,Miscellaneous Stores,1529.9333333333334,Other
250000,15,Yes,Yes,0.05106,0.05106,0.07806,0.07806,0.12450000000000001,0.12450000000000001,Miscellaneous Stores,Miscellaneous Stores,1643.0,Other
156000,15,Yes,Yes,0.0716,0.0716,0.09212000000000001,0.09212000000000001,0.16340000000000002,0.16340000000000002,Retail Outlet Services,Other,1244.464,Other
180000,75,Yes,Yes,0.1353,0.1353,0.2703,0.2703,0.5025000000000001,0.5025000000000001,Professional Services and Membership Organizations,Other,894.96,Other
8000,5,No,No,0.027,0.027,0.027,0.027,0.027,0.027,Miscellaneous Stores,Miscellaneous Stores,119.99999999999999,None
5000,30,No,Yes,0.18252,0.18252,0.18252,0.18252,0.18252,0.18252,Miscellaneous Stores,Miscellaneous Stores,84.49999999999999,Other
18000,30,Yes,No,0.162,0.162,0.162,0.162,0.162,0.162,Professional Services and Membership Organizations,Other,270.0,None
200000,200,Yes,Yes,0.31079999999999997,0.31079999999999997,0.6708000000000001,0.6708000000000001,1.2900000000000003,1.2900000000000003,Miscellaneous Stores,Miscellaneous Stores,944.4000000000001,Other
1000,15,No,No,0.09126,0.09126,0.09126,0.09126,0.09126,0.09126,Retail Outlet Services,Other,16.9,None
500000,60,Yes,Yes,0.10640000000000001,0.10640000000000001,0.1928,0.1928,0.24680000000000002,0.24680000000000002,Miscellaneous Stores,Miscellaneous Stores,2391.6666666666665,Other
150000,7,Yes,Yes,0.039828,0.039828,0.052428,0.052428,0.07410000000000001,0.07410000000000001,Retail Outlet Services,Other,1328.6571428571428,Other
500000,2000,Yes,Yes,3.2600000000000002,3.2600000000000002,6.14,6.14,8.299999999999999,8.299999999999999,Retail Outlet Services,Other,2485.0000000000005,Other
150000,333,Yes,Yes,0.5295200000000001,0.5295200000000001,0.9850640000000003,0.9850640000000003,2.5674800000000007,2.5674800000000007,Miscellaneous Stores,Miscellaneous Stores,719.1225225225224,Other
10000,5,No,No,0.027,0.027,0.027,0.027,0.027,0.027,Miscellaneous Stores,Miscellaneous Stores,150.0,None
60000,1500,Yes,Yes,2.2979999999999996,2.2979999999999996,5.2139999999999995,5.2139999999999995,7.859999999999999,7.859999999999999,Contracted Services,Other,291.47999999999996,Other
380000,15,No,Yes,0.042679999999999996,0.042679999999999996,0.0632,0.0632,0.07940000000000001,0.07940000000000001,Miscellaneous Stores,Miscellaneous Stores,2269.866666666667,Other
1000,10,No,No,0.054,0.054,0.054,0.054,0.054,0.054,Miscellaneous Stores,Miscellaneous Stores,14.999999999999998,None
120000,15,Yes,No,0.04970000000000001,0.04970000000000001,0.06860000000000001,0.06860000000000001,0.08750000000000001,0.08750000000000001,Retail Outlet Services,Other,870.4000000000001,None
720000,50,No,Yes,0.083,0.083,0.155,0.155,0.19999999999999998,0.19999999999999998,Miscellaneous Stores,Miscellaneous Stores,3131.9999999999995,Other
35000,200,Yes,No,1.2167999999999999,1.2167999999999999,1.2167999999999999,1.2167999999999999,1.2167999999999999,1.2167999999999999,Professional Services and Membership Organizations,Other,591.5,None
20000,1500,Yes,No,9.126,9.126,9.126,9.126,9.126,9.126,Miscellaneous Stores,Miscellaneous Stores,337.99999999999994,None
250000,500,Yes,Yes,0.75,0.75,1.6500000000000001,1.6500000000000001,1.83,1.83,Agricultural Services,Other,1145.0,Other
100000,12,No,No,0.07560000000000003,0.07560000000000003,0.07560000000000003,0.07560000000000003,0.07560000000000003,0.07560000000000003,Miscellaneous Stores,Miscellaneous Stores,1750.0000000000002,None
40000,100,No,No,0.2264,0.2264,0.37400000000000005,0.37400000000000005,0.8420000000000001,0.8420000000000001,Business Services,Other,242.8,None
1200000,750,Yes,Yes,0.7760000000000001,0.7760000000000001,1.91,1.91,2.72,2.72,Transportation Services,Other,3968.0,Other
10000,18,Yes,Yes,0.109512,0.109512,0.109512,0.109512,0.109512,0.109512,Miscellaneous Stores,Miscellaneous Stores,168.99999999999997,Other
10000,15,No,No,0.0632,0.0632,0.0632,0.0632,0.16040000000000001,0.16040000000000001,Miscellaneous Stores,Miscellaneous Stores,96.93333333333334,None
200000,94,No,Yes,0.17228000000000002,0.17228000000000002,0.3076400000000001,0.3076400000000001,0.40916,0.40916,Business Services,Other,1034.553191489362,Other
30000,15,No,No,0.09126,0.09126,0.09126,0.09126,0.09126,0.09126,Transportation Services,Other,506.99999999999994,None
400000,8,No,Yes,0.03152,0.03152,0.04304,0.04304,0.05024000000000001,0.05024000000000001,Retail Outlet Services,Other,2780.0,Other
1000,5,No,No,0.027,0.027,0.027,0.027,0.027,0.027,Professional Services and Membership Organizations,Other,14.999999999999998,None
10000,20,No,No,0.108,0.108,0.108,0.108,0.108,0.108,Miscellaneous Stores,Miscellaneous Stores,150.0,None
20000,20,No,No,0.12168,0.12168,0.12168,0.12168,0.12168,0.12168,Miscellaneous Stores,Miscellaneous Stores,337.99999999999994,None
10000,15,No,No,0.0632,0.0632,0.0632,0.0632,0.16040000000000001,0.16040000000000001,Miscellaneous Stores,Miscellaneous Stores,96.93333333333334,None
100000,3000,Yes,No,4.37,4.37,8.474000000000002,8.474000000000002,22.73,22.73,Retail Outlet Services,Other,466.06666666666666,None
5000,2,No,No,0.012600000000000002,0.012600000000000002,0.012600000000000002,0.012600000000000002,0.012600000000000002,0.012600000000000002,Miscellaneous Stores,Miscellaneous Stores,87.50000000000001,None
20000,10,Yes,Yes,0.06084,0.06084,0.06084,0.06084,0.06084,0.06084,Retail Outlet Services,Other,337.99999999999994,Other
800000,30,No,No,0.05024000000000001,0.05024000000000001,0.0956,0.0956,0.128,0.128,Retail Outlet Services,Other,3157.3333333333335,None
100000,15,No,No,0.09126,0.09126,0.09126,0.09126,0.09126,0.09126,Miscellaneous Stores,Miscellaneous Stores,1689.9999999999998,None
8000,20,Yes,No,0.12168,0.12168,0.12168,0.12168,0.12168,0.12168,Miscellaneous Stores,Miscellaneous Stores,135.2,None
500,10,Yes,No,0.06084,0.06084,0.06084,0.06084,0.06084,0.06084,Professional Services and Membership Organizations,Other,8.45,None
8000,40,No,Yes,0.24336,0.24336,0.24336,0.24336,0.24336,0.24336,Agricultural Services,Other,135.2,Other
60000,4,No,Yes,0.028640000000000002,0.028640000000000002,0.03296,0.03296,0.03944,0.03944,Miscellaneous Stores,Miscellaneous Stores,683.4000000000001,Other
13000,600,No,Yes,3.2399999999999998,3.2399999999999998,3.2399999999999998,3.2399999999999998,3.2399999999999998,3.2399999999999998,Agricultural Services,Other,195.00000000000003,Other
2200000,20,Yes,Yes,0.05592,0.05592,0.08832000000000001,0.08832000000000001,0.15167999999999998,0.15167999999999998,Miscellaneous Stores,Miscellaneous Stores,12597.2,Other
220000,14,No,Yes,0.07016,0.07016,0.089312,0.089312,0.15584000000000003,0.15584000000000003,Miscellaneous Stores,Miscellaneous Stores,1807.3942857142858,Other
50000,70,No,Yes,0.252,0.252,0.252,0.252,0.252,0.252,Clothing Stores,Other,500.0,Other
370000,15,Yes,Yes,0.07322000000000001,0.07322000000000001,0.09482000000000002,0.09482000000000002,0.10400000000000001,0.10400000000000001,Miscellaneous Stores,Miscellaneous Stores,2984.9133333333334,Other
50000,100,No,No,0.6083999999999999,0.6083999999999999,0.6083999999999999,0.6083999999999999,0.6083999999999999,0.6083999999999999,Business Services,Other,844.9999999999999,None
1000,3,No,No,0.018252000000000004,0.018252000000000004,0.018252000000000004,0.018252000000000004,0.018252000000000004,0.018252000000000004,Miscellaneous Stores,Miscellaneous Stores,16.9,None
35000,68,No,Yes,0.19136,0.19136,0.2892800000000001,0.2892800000000001,0.36272000000000004,0.36272000000000004,Clothing Stores,Other,271.3941176470588,Other
1500000,2168,Yes,Yes,2.205344,2.205344,5.483359999999999,5.483359999999999,7.8248,7.8248,Retail Outlet Services,Other,4933.837638376384,Other
650000,8,No,Yes,0.028064000000000002,0.028064000000000002,0.04016,0.04016,0.0488,0.0488,Retail Outlet Services,Other,3757.0000000000005,Other
200000,20,No,No,0.108,0.108,0.108,0.108,0.108,0.108,Miscellaneous Stores,Miscellaneous Stores,3000.0,None
3000,50,Yes,Yes,0.30419999999999997,0.30419999999999997,0.30419999999999997,0.30419999999999997,0.30419999999999997,0.30419999999999997,Miscellaneous Stores,Miscellaneous Stores,50.699999999999996,Other
500000,20,Yes,Yes,0.0488,0.0488,0.0776,0.0776,0.0956,0.0956,Miscellaneous Stores,Miscellaneous Stores,2725.0,Other
100000,1000,Yes,Yes,1.49,1.49,2.858,2.858,7.61,7.61,Business Services,Other,469.4,Other
1000,15,No,No,0.09126,0.09126,0.09126,0.09126,0.09126,0.09126,Miscellaneous Stores,Miscellaneous Stores,16.9,None
1200000,15,Yes,Yes,0.035120000000000005,0.035120000000000005,0.057800000000000004,0.057800000000000004,0.07400000000000001,0.07400000000000001,Retail Outlet Services,Other,5536.0,Other
38000,20,No,No,0.066,0.066,0.1164,0.1164,0.1884,0.1884,Miscellaneous Stores,Miscellaneous Stores,281.20000000000005,None
5000,10,Yes,No,0.0488,0.0488,0.0488,0.0488,0.11360000000000002,0.11360000000000002,Miscellaneous Stores,Miscellaneous Stores,51.800000000000004,None
24000,5,No,Yes,0.027,0.027,0.027,0.027,0.027,0.027,Business Services,Other,359.99999999999994,Other
110000,7,Yes,Yes,0.032600000000000004,0.032600000000000004,0.041420000000000005,0.041420000000000005,0.05024000000000001,0.05024000000000001,Retail Outlet Services,Other,910.4857142857143,Other
350000,20,No,Yes,0.05024,0.05024,0.0776,0.0776,0.09920000000000001,0.09920000000000001,Retail Outlet Services,Other,1974.0,Other
10000,20,No,Yes,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,Miscellaneous Stores,Miscellaneous Stores,100.0,Other
57000000,1500,Yes,Yes,2.156,2.156,3.8299999999999996,3.8299999999999996,9.770000000000001,9.770000000000001,Contracted Services,Other,254410.0,Other
80000,700,Yes,No,1.0884,1.0884,2.4491999999999994,2.4491999999999994,3.6839999999999997,3.6839999999999997,Miscellaneous Stores,Miscellaneous Stores,390.4685714285714,None
50000,10,No,No,0.0416,0.0416,0.0524,0.0524,0.06860000000000001,0.06860000000000001,Transportation Services,Other,419.50000000000006,None
300000,30,Yes,Yes,0.07212,0.07212,0.12612,0.12612,0.21900000000000003,0.21900000000000003,Miscellaneous Stores,Miscellaneous Stores,1671.6000000000001,Other
150000,8,Yes,Yes,0.0344,0.0344,0.044480000000000006,0.044480000000000006,0.05456000000000001,0.05456000000000001,Professional Services and Membership Organizations,Other,1188.0,Other
75000,80,Yes,No,0.19112,0.19112,0.30920000000000003,0.30920000000000003,0.6836000000000001,0.6836000000000001,Miscellaneous Stores,Miscellaneous Stores,464.62499999999994,None
750000,40,No,No,0.11048,0.11048,0.16232000000000002,0.16232000000000002,0.194,0.194,Retail Outlet Services,Other,4390.5,None
300000,200,Yes,Yes,0.31079999999999997,0.31079999999999997,0.6708000000000001,0.6708000000000001,1.2900000000000003,1.2900000000000003,Miscellaneous Stores,Miscellaneous Stores,1416.6000000000001,Other
480000,20,Yes,Yes,0.05808,0.05808,0.09408,0.09408,0.15600000000000003,0.15600000000000003,Miscellaneous Stores,Miscellaneous Stores,2914.5600000000004,Other
15000,180,No,Yes,0.506,0.506,0.7652,0.7652,0.9595999999999999,0.9595999999999999,Miscellaneous Stores,Miscellaneous Stores,121.06666666666666,Other
500000,1000,No,No,1.46,1.46,2.9,2.9,3.8000000000000003,3.8000000000000003,Retail Outlet Services,Other,2235.0,None
100000,15,No,Yes,0.0716,0.0716,0.09212000000000001,0.09212000000000001,0.16340000000000002,0.16340000000000002,Miscellaneous Stores,Miscellaneous Stores,797.7333333333333,Other
400000,35,Yes,Yes,0.0704,0.0704,0.1208,0.1208,0.1523,0.1523,Miscellaneous Stores,Miscellaneous Stores,2008.5714285714287,Other
80000,100,Yes,Yes,0.1704,0.1704,0.35040000000000004,0.35040000000000004,0.6600000000000001,0.6600000000000001,Business Services,Other,389.76,Other
950000,1000,Yes,Yes,1.0280000000000002,1.0280000000000002,2.5399999999999996,2.5399999999999996,3.62,3.62,Retail Outlet Services,Other,3135.0,Other
150000,100,Yes,No,0.54,0.54,0.54,0.54,0.54,0.54,Miscellaneous Stores,Miscellaneous Stores,2250.0,None
300000,45,Yes,Yes,0.09318,0.09318,0.17418,0.17418,0.3135,0.3135,Miscellaneous Stores,Miscellaneous Stores,1571.6000000000001,Other
50000,150,No,No,0.8099999999999999,0.8099999999999999,0.8099999999999999,0.8099999999999999,0.8099999999999999,0.8099999999999999,Business Services,Other,750.0,None
20000,18,No,Yes,0.109512,0.109512,0.109512,0.109512,0.109512,0.109512,Transportation Services,Other,337.99999999999994,Other
300000,20,No,No,0.05024,0.05024,0.0776,0.0776,0.09920000000000001,0.09920000000000001,Miscellaneous Stores,Miscellaneous Stores,1691.9999999999998,None
500,10,No,Yes,0.054,0.054,0.054,0.054,0.054,0.054,Professional Services and Membership Organizations,Other,7.499999999999999,Other
50000,20,Yes,No,0.0632,0.0632,0.08480000000000001,0.08480000000000001,0.11720000000000001,0.11720000000000001,Miscellaneous Stores,Miscellaneous Stores,369.50000000000006,None
275000,45,No,Yes,0.09290000000000001,0.09290000000000001,0.14959999999999998,0.14959999999999998,0.20629999999999998,0.20629999999999998,Clothing Stores,Other,1475.2222222222224,Other
100000,20,Yes,Yes,0.05808,0.05808,0.09408,0.09408,0.15600000000000003,0.15600000000000003,Retail Outlet Services,Other,607.2,Other
1000,300,No,No,1.8900000000000001,1.8900000000000001,1.8900000000000001,1.8900000000000001,1.8900000000000001,1.8900000000000001,Business Services,Other,17.500000000000004,None
1664000,65,Yes,Yes,0.08552000000000001,0.08552000000000001,0.1838,0.1838,0.254,0.254,Miscellaneous Stores,Miscellaneous Stores,5969.920000000001,Other
700000,15,Yes,Yes,0.04944,0.04944,0.07374,0.07374,0.12125999999999999,0.12125999999999999,Miscellaneous Stores,Miscellaneous Stores,4358.2,Other
3000,200,Yes,Yes,1.08,1.08,1.08,1.08,1.08,1.08,Professional Services and Membership Organizations,Other,44.99999999999999,Other
110000,10,Yes,Yes,0.04512,0.04512,0.06456,0.06456,0.0822,0.0822,Business Services,Other,862.18,Other
450000,40,No,No,0.0776,0.0776,0.13520000000000001,0.13520000000000001,0.1712,0.1712,Retail Outlet Services,Other,2227.5,None
200000,20,Yes,No,0.05808,0.05808,0.09408,0.09408,0.15600000000000003,0.15600000000000003,Miscellaneous Stores,Miscellaneous Stores,1214.4,None
