Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,MCC Category,Total Annual Transaction Fees,Current Provider Grouped,MCC_Category_Agricultural Services,MCC_Category_Business Services,MCC_Category_Clothing Stores,MCC_Category_Contracted Services,MCC_Category_Miscellaneous Stores,MCC_Category_Professional Services and Membership Organizations,MCC_Category_Retail Outlet Services,MCC_Category_Transportation Services,MCC_Category_Travel,MCC_Category_Utility Services
120000,15,Yes,Yes, 1% + 0p,Miscellaneous Stores,1200.0,Other,False,False,False,False,True,False,False,False,False,False
5000,250,No,No, 1.69% + 0p,Business Services,84.49999999999999,,False,True,False,False,False,False,False,False,False,False
640000,80,No,No, 0.35% + 2p,Business Services,2528.632,,False,True,False,False,False,False,False,False,False,False
50000,310,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,278.5449193548387,Other,False,False,False,False,True,False,False,False,False,False
300000,150,No,Yes, 0.42% + 2p,Transportation Services,1392.1855999999998,Other,False,False,False,False,False,False,False,True,False,False
50000,11,Yes,No, 0.65% + 2p,Miscellaneous Stores,349.1336363636364,,False,False,False,False,True,False,False,False,False,False
48000,3000,Yes,Yes, 0.49% + 2.5p,Contracted Services,267.364456,Other,False,False,False,True,False,False,False,False,False,False
4000,73,Yes,No, 0.8% + 2p,Retail Outlet Services,33.449161643835616,,False,False,False,False,False,False,True,False,False,False
120000,15,No,Yes, 0.5% + 2p,Miscellaneous Stores,651.2672,Other,False,False,False,False,True,False,False,False,False,False
8000,30,No,No, 1.5% + 0p,Miscellaneous Stores,120.0,,False,False,False,False,True,False,False,False,False,False
250000,3000,Yes,No, 1.5% + 0p,Retail Outlet Services,3750.0,,False,False,False,False,False,False,True,False,False,False
2500,30,No,No, 1.69% + 0p,Miscellaneous Stores,42.24999999999999,,False,False,False,False,True,False,False,False,False,False
1000,190,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,16.9,,False,False,False,False,False,True,False,False,False,False
5000,20,No,No, 1.5% + 0p,Miscellaneous Stores,75.0,,False,False,False,False,True,False,False,False,False,False
200000,10,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,993.9840000000004,Other,False,False,False,False,True,False,False,False,False,False
100000,150,No,No, 0.4% + 3p,Retail Outlet Services,482.0964,,False,False,False,False,False,False,True,False,False,False
170000,12,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,779.1831000000001,Other,False,False,False,False,True,False,False,False,False,False
1000,25,No,No, 1.69% + 0p,Business Services,16.9,,False,True,False,False,False,False,False,False,False,False
80000,30,No,Yes, 1% + 0p,Agricultural Services,800.0,Other,True,False,False,False,False,False,False,False,False,False
1200000,30,Yes,Yes, 0.4% + 2.5p,Retail Outlet Services,5582.087999999999,Other,False,False,False,False,False,False,True,False,False,False
200000,17,No,No, 1.75% + 0p,Miscellaneous Stores,3500.0000000000005,,False,False,False,False,True,False,False,False,False,False
25000,50,No,No, 1% + 0p,Miscellaneous Stores,250.0,,False,False,False,False,True,False,False,False,False,False
1500000,400,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,6339.475425,Other,False,False,False,False,True,False,False,False,False,False
350000,10,Yes,Yes, 0.43% + 2.5p,Retail Outlet Services,1665.1845,Other,False,False,False,False,False,False,True,False,False,False
250000,8000,Yes,Yes, 0.43% + 2.5p,Miscellaneous Stores,1183.507396875,Other,False,False,False,False,True,False,False,False,False,False
150000,9,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,700.4699999999999,Other,False,False,False,False,True,False,False,False,False,False
250000,15,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1145.286,Other,False,False,False,False,True,False,False,False,False,False
156000,15,Yes,Yes, 0.4% + 2.5p,Retail Outlet Services,726.87888,Other,False,False,False,False,False,False,True,False,False,False
180000,75,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,823.2891840000001,Other,False,False,False,False,False,True,False,False,False,False
8000,5,No,No, 1.5% + 0p,Miscellaneous Stores,120.0,,False,False,False,False,True,False,False,False,False,False
5000,30,No,Yes, 1.69% + 0p,Miscellaneous Stores,84.49999999999999,Other,False,False,False,False,True,False,False,False,False,False
18000,30,Yes,No, 1.5% + 0p,Professional Services and Membership Organizations,270.0,,False,False,False,False,False,True,False,False,False,False
200000,200,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,914.53716,Other,False,False,False,False,True,False,False,False,False,False
1000,15,No,No, 1.69% + 0p,Retail Outlet Services,16.9,,False,False,False,False,False,False,True,False,False,False
500000,60,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2225.741666666667,Other,False,False,False,False,True,False,False,False,False,False
150000,7,Yes,Yes, 0.39% + 3p,Retail Outlet Services,688.739142857143,Other,False,False,False,False,False,False,True,False,False,False
500000,2000,Yes,Yes, 0.45% + 2p,Retail Outlet Services,2480.0248000000006,Other,False,False,False,False,False,False,True,False,False,False
150000,333,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,696.7045945945945,Other,False,False,False,False,True,False,False,False,False,False
10000,5,No,No, 1.5% + 0p,Miscellaneous Stores,150.0,,False,False,False,False,True,False,False,False,False,False
60000,1500,Yes,Yes, 0.42% + 3p,Contracted Services,290.28580559999995,Other,False,False,False,True,False,False,False,False,False,False
380000,15,No,Yes, 0.42% + 2p,Miscellaneous Stores,1765.5509333333334,Other,False,False,False,False,True,False,False,False,False,False
1000,10,No,No, 1.5% + 0p,Miscellaneous Stores,14.999999999999998,,False,False,False,False,True,False,False,False,False,False
120000,15,Yes,No, 0.55% + 2p,Retail Outlet Services,711.3472,,False,False,False,False,False,False,True,False,False,False
720000,50,No,Yes, 0.35% + 2p,Miscellaneous Stores,2845.1376,Other,False,False,False,False,True,False,False,False,False,False
35000,200,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,591.5,,False,False,False,False,False,True,False,False,False,False
20000,1500,Yes,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,,False,False,False,False,True,False,False,False,False,False
250000,500,Yes,Yes, 0.4% + 3p,Agricultural Services,1130.0678,Other,True,False,False,False,False,False,False,False,False,False
100000,12,No,No, 1.75% + 0p,Miscellaneous Stores,1750.0000000000002,,False,False,False,False,True,False,False,False,False,False
40000,100,No,No, 0.49% + 2.5p,Business Services,222.9114,,False,True,False,False,False,False,False,False,False,False
1200000,750,Yes,Yes, 0.28% + 2p,Transportation Services,3936.10496,Other,False,False,False,False,False,False,False,True,False,False
10000,18,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other,False,False,False,False,True,False,False,False,False,False
10000,15,No,No, 0.8% + 2p,Miscellaneous Stores,83.71146666666668,,False,False,False,False,True,False,False,False,False,False
200000,94,No,Yes, 0.45% + 2p,Business Services,992.2110638297876,Other,False,True,False,False,False,False,False,False,False,False
30000,15,No,No, 1.69% + 0p,Transportation Services,507.0,,False,False,False,False,False,False,False,True,False,False
400000,8,No,Yes, 0.4% + 2p,Retail Outlet Services,1784.45,Other,False,False,False,False,False,False,True,False,False,False
1000,5,No,No, 1.5% + 0p,Professional Services and Membership Organizations,14.999999999999998,,False,False,False,False,False,True,False,False,False,False
10000,20,No,No, 1.5% + 0p,Miscellaneous Stores,150.0,,False,False,False,False,True,False,False,False,False,False
20000,20,No,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,,False,False,False,False,True,False,False,False,False,False
10000,15,No,No, 0.8% + 2p,Miscellaneous Stores,83.71146666666668,,False,False,False,False,True,False,False,False,False,False
100000,3000,Yes,No, 0.4% + 2.5p,Retail Outlet Services,464.40774,,False,False,False,False,False,False,True,False,False,False
5000,2,No,No, 1.75% + 0p,Miscellaneous Stores,87.50000000000001,,False,False,False,False,True,False,False,False,False,False
20000,10,Yes,Yes, 1.69% + 0p,Retail Outlet Services,337.99999999999994,Other,False,False,False,False,False,False,True,False,False,False
800000,30,No,No, 0.28% + 2p,Retail Outlet Services,2625.749333333333,,False,False,False,False,False,False,True,False,False,False
100000,15,No,No, 1.69% + 0p,Miscellaneous Stores,1689.9999999999998,,False,False,False,False,True,False,False,False,False,False
8000,20,Yes,No, 1.69% + 0p,Miscellaneous Stores,135.2,,False,False,False,False,True,False,False,False,False,False
500,10,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,8.45,,False,False,False,False,False,True,False,False,False,False
8000,40,No,Yes, 1.69% + 0p,Agricultural Services,135.2,Other,True,False,False,False,False,False,False,False,False,False
60000,4,No,Yes, 0.6% + 2p,Miscellaneous Stores,385.317,Other,False,False,False,False,True,False,False,False,False,False
13000,600,No,Yes, 1.5% + 0p,Agricultural Services,195.00000000000003,Other,True,False,False,False,False,False,False,False,False,False
2200000,20,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,9311.1458,Other,False,False,False,False,True,False,False,False,False,False
220000,14,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1025.3288571428573,Other,False,False,False,False,True,False,False,False,False,False
50000,70,No,Yes, 1% + 0p,Clothing Stores,500.0,Other,False,False,True,False,False,False,False,False,False,False
370000,15,Yes,Yes, 0.43% + 2.5p,Miscellaneous Stores,1757.4186,Other,False,False,False,False,True,False,False,False,False,False
50000,100,No,No, 1.69% + 0p,Business Services,844.9999999999999,,False,True,False,False,False,False,False,False,False,False
1000,3,No,No, 1.69% + 0p,Miscellaneous Stores,16.9,,False,False,False,False,True,False,False,False,False,False
35000,68,No,Yes, 0.7% + 2p,Clothing Stores,261.17679411764703,Other,False,False,True,False,False,False,False,False,False,False
1500000,2168,Yes,Yes, 0.28% + 2p,Retail Outlet Services,4920.045387453875,Other,False,False,False,False,False,False,True,False,False,False
650000,8,No,Yes, 0.28% + 2p,Retail Outlet Services,2137.3300000000004,Other,False,False,False,False,False,False,True,False,False,False
200000,20,No,No, 1.5% + 0p,Miscellaneous Stores,3000.0,,False,False,False,False,True,False,False,False,False,False
3000,50,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,50.7,Other,False,False,False,False,True,False,False,False,False,False
500000,20,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2227.225,Other,False,False,False,False,True,False,False,False,False,False
100000,1000,Yes,Yes, 0.4% + 2.5p,Business Services,464.42322,Other,False,True,False,False,False,False,False,False,False,False
1000,15,No,No, 1.69% + 0p,Miscellaneous Stores,16.9,,False,False,False,False,True,False,False,False,False,False
1200000,15,Yes,Yes, 0.28% + 2p,Retail Outlet Services,3941.248,Other,False,False,False,False,False,False,True,False,False,False
38000,20,No,No, 0.5% + 3p,Miscellaneous Stores,224.53630000000004,,False,False,False,False,True,False,False,False,False,False
5000,10,Yes,No, 0.8% + 2p,Miscellaneous Stores,41.8836,,False,False,False,False,True,False,False,False,False,False
24000,5,No,Yes, 1.5% + 0p,Business Services,359.99999999999994,Other,False,True,False,False,False,False,False,False,False,False
110000,7,Yes,Yes, 0.5% + 2p,Retail Outlet Services,597.9034285714287,Other,False,False,False,False,False,False,True,False,False,False
350000,20,No,Yes, 0.42% + 2p,Retail Outlet Services,1625.624,Other,False,False,False,False,False,False,True,False,False,False
10000,20,No,Yes, 1% + 0p,Miscellaneous Stores,100.0,Other,False,False,False,False,True,False,False,False,False,False
57000000,1500,Yes,Yes, 0.39% + 2.5p,Contracted Services,252518.417,Other,False,False,False,True,False,False,False,False,False,False
80000,700,Yes,No, 0.42% + 3p,Miscellaneous Stores,387.0565874285714,,False,False,False,False,True,False,False,False,False,False
50000,10,No,No, 0.6% + 2p,Transportation Services,320.13900000000007,,False,False,False,False,False,False,False,True,False,False
300000,30,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1372.9716,Other,False,False,False,False,True,False,False,False,False,False
150000,8,Yes,Yes, 0.5% + 2p,Professional Services and Membership Organizations,815.0325000000001,Other,False,False,False,False,False,True,False,False,False,False
75000,80,Yes,No, 0.49% + 2.5p,Miscellaneous Stores,418.01109374999993,,False,False,False,False,True,False,False,False,False,False
750000,40,No,No, 0.42% + 2.5p,Retail Outlet Services,3457.31625,,False,False,False,False,False,False,True,False,False,False
300000,200,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1371.8057400000002,Other,False,False,False,False,True,False,False,False,False,False
480000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,2197.8518400000003,Other,False,False,False,False,True,False,False,False,False,False
15000,180,No,Yes, 0.75% + 2p,Miscellaneous Stores,119.41326666666666,Other,False,False,False,False,True,False,False,False,False,False
500000,1000,No,No, 0.4% + 2p,Retail Outlet Services,2225.0445,,False,False,False,False,False,False,True,False,False,False
100000,15,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,465.948,Other,False,False,False,False,True,False,False,False,False,False
400000,35,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,1781.0171428571427,Other,False,False,False,False,True,False,False,False,False,False
80000,100,Yes,Yes, 0.39% + 3p,Business Services,365.869728,Other,False,True,False,False,False,False,False,False,False,False
950000,1000,Yes,Yes, 0.28% + 2p,Retail Outlet Services,3116.06232,Other,False,False,False,False,False,False,True,False,False,False
150000,100,Yes,No, 1.5% + 0p,Miscellaneous Stores,2250.0,,False,False,False,False,True,False,False,False,False,False
300000,45,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1372.5144,Other,False,False,False,False,True,False,False,False,False,False
50000,150,No,No, 1.5% + 0p,Business Services,750.0,,False,True,False,False,False,False,False,False,False,False
20000,18,No,Yes, 1.69% + 0p,Transportation Services,337.99999999999994,Other,False,False,False,False,False,False,False,True,False,False
300000,20,No,No, 0.42% + 2p,Miscellaneous Stores,1393.3919999999998,,False,False,False,False,True,False,False,False,False,False
500,10,No,Yes, 1.5% + 0p,Professional Services and Membership Organizations,7.499999999999999,Other,False,False,False,False,False,True,False,False,False,False
50000,20,Yes,No, 0.6% + 2p,Miscellaneous Stores,319.81950000000006,,False,False,False,False,True,False,False,False,False,False
275000,45,No,Yes, 0.45% + 2p,Clothing Stores,1353.6013333333335,Other,False,False,True,False,False,False,False,False,False,False
100000,20,Yes,Yes, 0.39% + 3p,Retail Outlet Services,457.8858,Other,False,False,False,False,False,False,True,False,False,False
1000,300,No,No, 1.75% + 0p,Business Services,17.500000000000004,,False,True,False,False,False,False,False,False,False,False
1664000,65,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,5459.599360000001,Other,False,False,False,False,True,False,False,False,False,False
700000,15,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,2964.1164,Other,False,False,False,False,True,False,False,False,False,False
3000,200,Yes,Yes, 1.5% + 0p,Professional Services and Membership Organizations,44.99999999999999,Other,False,False,False,False,False,True,False,False,False,False
110000,10,Yes,Yes, 0.42% + 3p,Business Services,533.77654,Other,False,True,False,False,False,False,False,False,False,False
450000,40,No,No, 0.4% + 2p,Retail Outlet Services,2003.50125,,False,False,False,False,False,False,True,False,False,False
200000,20,Yes,No, 0.39% + 3p,Miscellaneous Stores,915.7716,,False,False,False,False,True,False,False,False,False,False
200000,1200,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,928.8387,Other,False,False,False,False,True,False,False,False,False,False
20000,300,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,,False,False,False,False,False,True,False,False,False,False
50000,20,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,232.7805,Other,False,False,False,False,True,False,False,False,False,False
90000,1250,Yes,No, 0.55% + 2p,Business Services,532.8085248000001,,False,True,False,False,False,False,False,False,False,False
250000,25,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1144.3716,Other,False,False,False,False,True,False,False,False,False,False
240000,5,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,1185.5232,Other,False,False,False,False,True,False,False,False,False,False
100000,500,Yes,Yes, 0.4% + 2.5p,Business Services,464.44644,Other,False,True,False,False,False,False,False,False,False,False
15000,150,No,No, 1.75% + 0p,Contracted Services,262.5,,False,False,False,True,False,False,False,False,False,False
45000,200,Yes,No, 1.75% + 0p,Miscellaneous Stores,787.5,,False,False,False,False,True,False,False,False,False,False
2000000,10,Yes,Yes, 0.41% + 2.5p,Retail Outlet Services,9024.899999999998,Other,False,False,False,False,False,False,True,False,False,False
55000,10,No,No, 0.49% + 2.5p,Retail Outlet Services,307.88174999999995,,False,False,False,False,False,False,True,False,False,False
150000,120,Yes,Yes, 0.5% + 2p,Retail Outlet Services,813.1355000000001,Other,False,False,False,False,False,False,True,False,False,False
10000,20,No,No, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,,False,False,False,False,True,False,False,False,False,False
50000,20,Yes,No, 1.5% + 0p,Clothing Stores,750.0,,False,False,True,False,False,False,False,False,False,False
400000,10,No,No, 0.4% + 2p,Miscellaneous Stores,1783.56,,False,False,False,False,True,False,False,False,False,False
4000000,20,Yes,Yes, 0.27% + 2p,Miscellaneous Stores,12252.24,Other,False,False,False,False,True,False,False,False,False,False
60000,60,Yes,No, 0.42% + 3p,Transportation Services,290.42514,,False,False,False,False,False,False,False,True,False,False
1200,50,No,No, 1.75% + 0p,Business Services,21.0,,False,True,False,False,False,False,False,False,False,False
300000,2000,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1371.620574,Other,False,False,False,False,True,False,False,False,False,False
10000,15,No,No, 0.8% + 2p,Clothing Stores,83.71146666666668,,False,False,True,False,False,False,False,False,False,False
10000000,250,Yes,No, 0.36% + 3p,Miscellaneous Stores,42265.0712,,False,False,False,False,True,False,False,False,False,False
60000,3000,Yes,No, 0.49% + 2.5p,Retail Outlet Services,334.20557,,False,False,False,False,False,False,True,False,False,False
100000,10,No,No, 0.55% + 2p,Miscellaneous Stores,593.1840000000001,,False,False,False,False,True,False,False,False,False,False
200000,500,Yes,Yes, 0.45% + 2p,Professional Services and Membership Organizations,992.0396800000002,Other,False,False,False,False,False,True,False,False,False,False
80000,30,Yes,No, 0.49% + 2.5p,Clothing Stores,446.3426666666667,,False,False,True,False,False,False,False,False,False,False
350000,1500,Yes,No, 0.45% + 2p,Business Services,1750.0233333333338,,False,True,False,False,False,False,False,False,False,False
2000,7,Yes,No, 1.69% + 0p,Miscellaneous Stores,33.8,,False,False,False,False,True,False,False,False,False,False
1000,4,No,No, 1.69% + 0p,Transportation Services,16.9,,False,False,False,False,False,False,False,True,False,False
450000,20,No,No, 0.4% + 2p,Miscellaneous Stores,2004.5025,,False,False,False,False,True,False,False,False,False,False
150000,500,Yes,Yes, 1% + 0p,Retail Outlet Services,1500.0,Other,False,False,False,False,False,False,True,False,False,False
60000,20,Yes,No, 0.39% + 3p,Retail Outlet Services,274.73148000000003,,False,False,False,False,False,False,True,False,False,False
12000,55,No,Yes, 1.69% + 0p,Miscellaneous Stores,202.8,Other,False,False,False,False,True,False,False,False,False,False
220000,5,No,Yes, 0.4% + 2.5p,Retail Outlet Services,1031.8968,Other,False,False,False,False,False,False,True,False,False,False
60000,200,Yes,No, 0.6% + 2p,Business Services,383.43834,,False,True,False,False,False,False,False,False,False,False
12000,150,Yes,Yes, 1.5% + 0p,Retail Outlet Services,179.99999999999997,Other,False,False,False,False,False,False,True,False,False,False
1200000,1500,Yes,No, 0.41% + 2.5p,Utility Services,5388.1796,,False,False,False,False,False,False,False,False,False,True
500000,8,Yes,Yes, 0.4% + 3p,Retail Outlet Services,2268.475,Other,False,False,False,False,False,False,True,False,False,False
80000,30,No,No, 1.5% + 0p,Miscellaneous Stores,1200.0,,False,False,False,False,True,False,False,False,False,False
150000,80,Yes,Yes, 0.4% + 3p,Business Services,723.271125,Other,False,True,False,False,False,False,False,False,False,False
220000,12,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1008.3546,Other,False,False,False,False,True,False,False,False,False,False
50000,15,No,No, 0.8% + 2p,Miscellaneous Stores,418.5573333333334,,False,False,False,False,True,False,False,False,False,False
20000,30,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other,False,False,False,False,True,False,False,False,False,False
50000,100,Yes,Yes, 0.6% + 2p,Business Services,319.56390000000005,Other,False,True,False,False,False,False,False,False,False,False
110000,90,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,511.1238,Other,False,False,False,False,True,False,False,False,False,False
400000,950,Yes,Yes, 0.42% + 3p,Retail Outlet Services,1935.261111578947,Other,False,False,False,False,False,False,True,False,False,False
10000,30,No,No, 1.75% + 0p,Contracted Services,175.00000000000003,,False,False,False,True,False,False,False,False,False,False
200000,30,No,Yes, 0.4% + 2.5p,Clothing Stores,930.348,Other,False,False,True,False,False,False,False,False,False,False
