Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,MCC Category,Total Annual Transaction Fees,Current Provider Grouped
150000,9,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1529.9333333333334,Other
250000,15,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1643.0,Other
156000,15,Yes,Yes, 0.4% + 2.5p,Retail Outlet Services,1244.464,Other
180000,75,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,894.96,Other
8000,5,No,No, 1.5% + 0p,Miscellaneous Stores,119.99999999999999,Other
5000,30,No,Yes, 1.69% + 0p,Miscellaneous Stores,84.49999999999999,Other
18000,30,Yes,No, 1.5% + 0p,Professional Services and Membership Organizations,270.0,Other
200000,200,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,944.4000000000001,Other
1000,15,No,No, 1.69% + 0p,Retail Outlet Services,16.9,Other
500000,60,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2391.6666666666665,Other
150000,7,Yes,Yes, 0.39% + 3p,Retail Outlet Services,1328.6571428571428,Other
500000,2000,Yes,Yes, 0.45% + 2p,Retail Outlet Services,2485.0000000000005,Other
150000,333,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,719.1225225225224,Other
10000,5,No,No, 1.5% + 0p,Miscellaneous Stores,150.0,Other
60000,1500,Yes,Yes, 0.42% + 3p,Contracted Services,291.47999999999996,Other
380000,15,No,Yes, 0.42% + 2p,Miscellaneous Stores,2269.866666666667,Other
1000,10,No,No, 1.5% + 0p,Miscellaneous Stores,14.999999999999998,Other
120000,15,Yes,No, 0.55% + 2p,Retail Outlet Services,870.4000000000001,Other
720000,50,No,Yes, 0.35% + 2p,Miscellaneous Stores,3131.9999999999995,Other
35000,200,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,591.5,Other
20000,1500,Yes,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
250000,500,Yes,Yes, 0.4% + 3p,Agricultural Services,1145.0,Other
100000,12,No,No, 1.75% + 0p,Miscellaneous Stores,1750.0000000000002,Other
40000,100,No,No, 0.49% + 2.5p,Business Services,242.8,Other
1200000,750,Yes,Yes, 0.28% + 2p,Transportation Services,3968.0,Other
10000,18,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
10000,15,No,No, 0.8% + 2p,Miscellaneous Stores,96.93333333333334,Other
200000,94,No,Yes, 0.45% + 2p,Business Services,1034.553191489362,Other
30000,15,No,No, 1.69% + 0p,Transportation Services,506.99999999999994,Other
400000,8,No,Yes, 0.4% + 2p,Retail Outlet Services,2780.0,Other
1000,5,No,No, 1.5% + 0p,Professional Services and Membership Organizations,14.999999999999998,Other
10000,20,No,No, 1.5% + 0p,Miscellaneous Stores,150.0,Other
20000,20,No,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
10000,15,No,No, 0.8% + 2p,Miscellaneous Stores,96.93333333333334,Other
100000,3000,Yes,No, 0.4% + 2.5p,Retail Outlet Services,466.06666666666666,Other
5000,2,No,No, 1.75% + 0p,Miscellaneous Stores,87.50000000000001,Other
20000,10,Yes,Yes, 1.69% + 0p,Retail Outlet Services,337.99999999999994,Other
800000,30,No,No, 0.28% + 2p,Retail Outlet Services,3157.3333333333335,Other
100000,15,No,No, 1.69% + 0p,Miscellaneous Stores,1689.9999999999998,Other
8000,20,Yes,No, 1.69% + 0p,Miscellaneous Stores,135.2,Other
500,10,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,8.45,Other
8000,40,No,Yes, 1.69% + 0p,Agricultural Services,135.2,Other
60000,4,No,Yes, 0.6% + 2p,Miscellaneous Stores,683.4000000000001,Other
13000,600,No,Yes, 1.5% + 0p,Agricultural Services,195.00000000000003,Other
2200000,20,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,12597.2,Other
220000,14,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1807.3942857142858,Other
50000,70,No,Yes, 1% + 0p,Clothing Stores,500.0,Other
370000,15,Yes,Yes, 0.43% + 2.5p,Miscellaneous Stores,2984.9133333333334,Other
50000,100,No,No, 1.69% + 0p,Business Services,844.9999999999999,Other
1000,3,No,No, 1.69% + 0p,Miscellaneous Stores,16.9,Other
35000,68,No,Yes, 0.7% + 2p,Clothing Stores,271.3941176470588,Other
1500000,2168,Yes,Yes, 0.28% + 2p,Retail Outlet Services,4933.837638376384,Other
650000,8,No,Yes, 0.28% + 2p,Retail Outlet Services,3757.0000000000005,Other
200000,20,No,No, 1.5% + 0p,Miscellaneous Stores,3000.0,Other
3000,50,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,50.699999999999996,Other
500000,20,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2725.0,Other
100000,1000,Yes,Yes, 0.4% + 2.5p,Business Services,469.4,Other
1000,15,No,No, 1.69% + 0p,Miscellaneous Stores,16.9,Other
1200000,15,Yes,Yes, 0.28% + 2p,Retail Outlet Services,5536.0,Other
38000,20,No,No, 0.5% + 3p,Miscellaneous Stores,281.20000000000005,Other
5000,10,Yes,No, 0.8% + 2p,Miscellaneous Stores,51.800000000000004,Other
24000,5,No,Yes, 1.5% + 0p,Business Services,359.99999999999994,Other
110000,7,Yes,Yes, 0.5% + 2p,Retail Outlet Services,910.4857142857143,Other
350000,20,No,Yes, 0.42% + 2p,Retail Outlet Services,1974.0,Other
10000,20,No,Yes, 1% + 0p,Miscellaneous Stores,100.0,Other
57000000,1500,Yes,Yes, 0.39% + 2.5p,Contracted Services,254410.0,Other
80000,700,Yes,No, 0.42% + 3p,Miscellaneous Stores,390.4685714285714,Other
50000,10,No,No, 0.6% + 2p,Transportation Services,419.50000000000006,Other
300000,30,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1671.6000000000001,Other
150000,8,Yes,Yes, 0.5% + 2p,Professional Services and Membership Organizations,1188.0,Other
75000,80,Yes,No, 0.49% + 2.5p,Miscellaneous Stores,464.62499999999994,Other
750000,40,No,No, 0.42% + 2.5p,Retail Outlet Services,4390.5,Other
300000,200,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1416.6000000000001,Other
480000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,2914.5600000000004,Other
15000,180,No,Yes, 0.75% + 2p,Miscellaneous Stores,121.06666666666666,Other
500000,1000,No,No, 0.4% + 2p,Retail Outlet Services,2235.0,Other
100000,15,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,797.7333333333333,Other
400000,35,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2008.5714285714287,Other
80000,100,Yes,Yes, 0.39% + 3p,Business Services,389.76,Other
950000,1000,Yes,Yes, 0.28% + 2p,Retail Outlet Services,3135.0,Other
150000,100,Yes,No, 1.5% + 0p,Miscellaneous Stores,2250.0,Other
300000,45,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1571.6000000000001,Other
50000,150,No,No, 1.5% + 0p,Business Services,750.0,Other
20000,18,No,Yes, 1.69% + 0p,Transportation Services,337.99999999999994,Other
300000,20,No,No, 0.42% + 2p,Miscellaneous Stores,1691.9999999999998,Other
500,10,No,Yes, 1.5% + 0p,Professional Services and Membership Organizations,7.499999999999999,Other
50000,20,Yes,No, 0.6% + 2p,Miscellaneous Stores,369.50000000000006,Other
275000,45,No,Yes, 0.45% + 2p,Clothing Stores,1475.2222222222224,Other
100000,20,Yes,Yes, 0.39% + 3p,Retail Outlet Services,607.2,Other
1000,300,No,No, 1.75% + 0p,Business Services,17.500000000000004,Other
1664000,65,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,5969.920000000001,Other
700000,15,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,4358.2,Other
3000,200,Yes,Yes, 1.5% + 0p,Professional Services and Membership Organizations,44.99999999999999,Other
110000,10,Yes,Yes, 0.42% + 3p,Business Services,862.18,Other
450000,40,No,No, 0.4% + 2p,Retail Outlet Services,2227.5,Other
200000,20,Yes,No, 0.39% + 3p,Miscellaneous Stores,1214.4,Other
200000,1200,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,937.1333333333333,Other
20000,300,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,Other
50000,20,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,357.2,Other
90000,1250,Yes,No, 0.55% + 2p,Business Services,534.2400000000001,Other
250000,25,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1443.0,Other
240000,5,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,2140.8,Other
100000,500,Yes,Yes, 0.4% + 2.5p,Business Services,474.4,Other
15000,150,No,No, 1.75% + 0p,Contracted Services,262.5,Other
45000,200,Yes,No, 1.75% + 0p,Miscellaneous Stores,787.5,Other
2000000,10,Yes,Yes, 0.41% + 2.5p,Retail Outlet Services,18980.0,Other
55000,10,No,No, 0.49% + 2.5p,Retail Outlet Services,581.3499999999999,Other
150000,120,Yes,Yes, 0.5% + 2p,Retail Outlet Services,838.0000000000001,Other
10000,20,No,No, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
50000,20,Yes,No, 1.5% + 0p,Clothing Stores,750.0,Other
400000,10,No,No, 0.4% + 2p,Miscellaneous Stores,2580.0,Other
4000000,20,Yes,Yes, 0.27% + 2p,Miscellaneous Stores,16240.0,Other
60000,60,Yes,No, 0.42% + 3p,Transportation Services,320.28,Other
1200,50,No,No, 1.75% + 0p,Business Services,21.0,Other
300000,2000,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1376.1000000000001,Other
10000,15,No,No, 0.8% + 2p,Clothing Stores,96.93333333333334,Other
10000000,250,Yes,No, 0.36% + 3p,Miscellaneous Stores,43460.0,Other
60000,3000,Yes,No, 0.49% + 2.5p,Retail Outlet Services,335.2,Other
100000,10,No,No, 0.55% + 2p,Miscellaneous Stores,792.0000000000001,Other
200000,500,Yes,Yes, 0.45% + 2p,Professional Services and Membership Organizations,1000.0000000000002,Other
80000,30,Yes,No, 0.49% + 2.5p,Clothing Stores,578.9333333333334,Other
350000,1500,Yes,No, 0.45% + 2p,Business Services,1754.6666666666672,Other
2000,7,Yes,No, 1.69% + 0p,Miscellaneous Stores,33.8,Other
1000,4,No,No, 1.69% + 0p,Transportation Services,16.9,Other
450000,20,No,No, 0.4% + 2p,Miscellaneous Stores,2452.5,Other
150000,500,Yes,Yes, 1% + 0p,Retail Outlet Services,1500.0,Other
60000,20,Yes,No, 0.39% + 3p,Retail Outlet Services,364.32000000000005,Other
12000,55,No,Yes, 1.69% + 0p,Miscellaneous Stores,202.79999999999998,Other
220000,5,No,Yes, 0.4% + 2.5p,Retail Outlet Services,3221.6800000000003,Other
60000,200,Yes,No, 0.6% + 2p,Business Services,389.40000000000003,Other
12000,150,Yes,Yes, 1.5% + 0p,Retail Outlet Services,179.99999999999997,Other
1200000,1500,Yes,No, 0.41% + 2.5p,Utility Services,5428.0,Other
500000,8,Yes,Yes, 0.4% + 3p,Retail Outlet Services,4135.0,Other
80000,30,No,No, 1.5% + 0p,Miscellaneous Stores,1200.0,Other
150000,80,Yes,Yes, 0.4% + 3p,Business Services,779.25,Other
220000,12,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1555.8400000000001,Other
50000,15,No,No, 0.8% + 2p,Miscellaneous Stores,484.66666666666674,Other
20000,30,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
50000,100,Yes,Yes, 0.6% + 2p,Business Services,329.50000000000006,Other
110000,90,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,571.9511111111111,Other
400000,950,Yes,Yes, 0.42% + 3p,Retail Outlet Services,1947.831578947368,Other
10000,30,No,No, 1.75% + 0p,Contracted Services,175.00000000000003,Other
200000,30,No,Yes, 0.4% + 2.5p,Clothing Stores,1262.1333333333332,Other
120000,500,Yes,Yes, 0.4% + 2.5p,Business Services,569.28,Other
240000,80,Yes,No, 0.39% + 3p,Miscellaneous Stores,1187.2800000000002,Other
3000,96,Yes,No, 1.75% + 0p,Contracted Services,52.500000000000014,Other
50000,45,No,Yes, 0.8% + 2p,Miscellaneous Stores,440.2222222222223,Other
120000,200,Yes,No, 1.75% + 0p,Transportation Services,2100.0,Other
320000,25,No,No, 0.43% + 2.5p,Miscellaneous Stores,2154.88,Other
52555,52,No,Yes, 0.8% + 2p,Miscellaneous Stores,459.57326153846157,Other
50000,20,Yes,No, 0.8% + 2p,Miscellaneous Stores,468.00000000000006,Other
100000,250,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,469.20000000000005,Other
15000,500,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,253.49999999999997,Other
10000,40,No,No, 0.8% + 2p,Professional Services and Membership Organizations,88.60000000000001,Other
500,100,Yes,No, 1.69% + 0p,Miscellaneous Stores,8.45,Other
70000,70,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,439.9,Other
100000,50,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,564.4,Other
200000,8,No,Yes, 0.45% + 2p,Miscellaneous Stores,1492.0000000000002,Other
2200000,30,Yes,Yes, 0.27% + 2p,Retail Outlet Services,8198.666666666668,Other
50000,350,Yes,No, 0.5% + 3p,Business Services,299.2857142857143,Other
166412,279,No,Yes, 0.4% + 2.5p,Contracted Services,802.6402670681003,Other
60000,400,Yes,No, 0.49% + 2.5p,Business Services,341.7,Other
980000,1780,No,No, 0.28% + 2p,Business Services,3225.4112359550563,Other
100000,20,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,714.4,Other
360000,68,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,1786.0235294117647,Other
100000,65,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,541.3230769230769,Other
900000,12,No,Yes, 0.28% + 2p,Retail Outlet Services,4452.0,Other
60000,5,Yes,Yes, 0.49% + 2.5p,Business Services,934.2,Other
550000,20,No,No, 0.35% + 2p,Retail Outlet Services,2722.5,Other
90000,15,Yes,Yes, 0.55% + 2p,Miscellaneous Stores,652.8000000000001,Other
10000,68,Yes,Yes, 1% + 0p,Miscellaneous Stores,100.0,Other
10000,10,No,No, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
30000,200,Yes,Yes, 0.8% + 2p,Professional Services and Membership Organizations,253.80000000000004,Other
50000,10,No,No, 0.49% + 2.5p,Retail Outlet Services,528.5,Other
288429,12,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,2039.769888,Other
120000,7,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1414.422857142857,Other
12000,350,No,No, 1.69% + 0p,Miscellaneous Stores,202.79999999999998,Other
6000,7,Yes,No, 1.75% + 0p,Business Services,105.00000000000003,Other
200000,16,No,Yes, 0.45% + 2p,Miscellaneous Stores,1242.0000000000002,Other
20000,35,No,No, 1.5% + 0p,Professional Services and Membership Organizations,300.0,Other
420000,12,No,Yes, 0.4% + 2p,Miscellaneous Stores,2569.0,Other
200,200,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,3.38,Other
156000,15,Yes,Yes, 0.39% + 3p,Retail Outlet Services,1025.232,Other
360000,35,Yes,Yes, 0.43% + 2.5p,Miscellaneous Stores,2218.5257142857145,Other
1200000,150,Yes,Yes, 0.28% + 2p,Retail Outlet Services,4096.0,Other
250000,4000,Yes,Yes, 0.4% + 3p,Retail Outlet Services,1131.875,Other
400000,11,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2507.272727272727,Other
50000,12,Yes,No, 1.5% + 0p,Business Services,750.0,Other
8000,500,Yes,No, 1% + 0p,Business Services,80.0,Other
500000,25,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2625.0,Other
60000,30,Yes,Yes, 0.5% + 3p,Retail Outlet Services,414.0,Other
12000,8,No,No, 0.8% + 2p,Miscellaneous Stores,130.32000000000002,Other
20000,2000,No,No, 1% + 0p,Contracted Services,200.0,Other
10000,500,Yes,No, 1% + 0p,Contracted Services,100.0,Other
5000,20,No,No, 1.69% + 0p,Miscellaneous Stores,84.49999999999999,Other
1000,5,No,No, 1.5% + 0p,Retail Outlet Services,14.999999999999998,Other
3000,20,No,No, 1.69% + 0p,Miscellaneous Stores,50.699999999999996,Other
1200000,70,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,4278.857142857143,Other
20000,14,No,No, 1.5% + 0p,Miscellaneous Stores,300.0,Other
400000,2000,Yes,Yes, 0.4% + 2p,Retail Outlet Services,1784.0,Other
50000,25,No,No, 0.6% + 2p,Miscellaneous Stores,359.50000000000006,Other
60000,3000,Yes,Yes, 0.6% + 2p,Contracted Services,383.8,Other
60000,20,No,No, 0.65% + 2p,Business Services,478.2,Other
590000,20,No,No, 0.35% + 2p,Retail Outlet Services,2920.5,Other
12000,800,No,Yes, 1.69% + 0p,Miscellaneous Stores,202.79999999999998,Other
50000,200,No,Yes, 0.8% + 2p,Business Services,423.00000000000006,Other
12000,50,No,No, 0.8% + 2p,Retail Outlet Services,105.12000000000002,Other
700000,50,Yes,Yes, 0.35% + 2p,Miscellaneous Stores,3045.0,Other
80000,10,Yes,Yes, 0.55% + 2p,Miscellaneous Stores,633.6,Other
5000,5,No,No, 1.75% + 0p,Miscellaneous Stores,87.50000000000001,Other
1000,25,No,No, 0.8% + 2p,Miscellaneous Stores,9.16,Other
20000,10000,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
10000,40,No,No, 1.75% + 0p,Miscellaneous Stores,175.00000000000003,Other
400000,10,No,No, 0.4% + 2p,Miscellaneous Stores,2580.0,Other
100000,900,Yes,Yes, 0.4% + 2.5p,Professional Services and Membership Organizations,469.9555555555555,Other
250000,19,No,Yes, 0.45% + 2p,Miscellaneous Stores,1493.1578947368423,Other
80000,100,Yes,Yes, 0.39% + 3p,Clothing Stores,389.76,Other
100000,10,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,757.2,Other
100,10,No,No, 1.69% + 0p,Miscellaneous Stores,1.69,Other
25000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,422.49999999999994,Other
100000,50,Yes,No, 0.4% + 2.5p,Clothing Stores,564.4,Other
50000,2000,No,Yes, 0.6% + 2p,Professional Services and Membership Organizations,320.00000000000006,Other
260000,180,No,Yes, 0.43% + 2.5p,Business Services,1303.0622222222223,Other
30000,2000,Yes,Yes, 0.8% + 2p,Clothing Stores,251.10000000000005,Other
45000,7,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,572.0785714285714,Other
450000,30,Yes,Yes, 0.43% + 2.5p,Retail Outlet Services,2880.3,Other
125000,36,No,Yes, 0.5% + 2p,Miscellaneous Stores,746.9444444444445,Other
4000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,67.6,Other
2000,5,No,No, 1.69% + 0p,Miscellaneous Stores,33.8,Other
900000,80,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3177.0000000000005,Other
900000,85,Yes,No, 0.3% + 2p,Utility Services,3397.764705882353,Other
10000,100,No,No, 0.8% + 2p,Transportation Services,85.60000000000001,Other
101000,65,No,No, 0.4% + 2.5p,Miscellaneous Stores,546.7363076923077,Other
100000,5000,Yes,No, 0.4% + 2.5p,Professional Services and Membership Organizations,465.4,Other
31000,2,Yes,Yes, 1.75% + 0p,Travel,542.5,Other
1000,6,No,No, 0.8% + 2p,Transportation Services,11.693333333333332,Other
6000,20,Yes,No, 0.8% + 2p,Miscellaneous Stores,56.16000000000001,Other
1500,55,No,No, 1.69% + 0p,Clothing Stores,25.349999999999998,Other
250000,200,Yes,No, 0.43% + 2.5p,Agricultural Services,1246.0,Other
300000,60,No,Yes, 0.42% + 2p,Miscellaneous Stores,1491.9999999999998,Other
200000,150,Yes,Yes, 0.4% + 2.5p,Professional Services and Membership Organizations,995.4666666666666,Other
500,5,No,No, 1.75% + 0p,Miscellaneous Stores,8.750000000000002,Other
100000,20,Yes,Yes, 0.55% + 2p,Miscellaneous Stores,692.0000000000001,Other
50000,20,Yes,Yes, 0.6% + 2p,Miscellaneous Stores,369.50000000000006,Other
1200000,7000,Yes,No, 0.41% + 2.5p,Contracted Services,5396.571428571428,Other
220000,7,Yes,Yes, 0.45% + 2p,Retail Outlet Services,1719.7714285714287,Other
20000,5000,No,No, 1.5% + 0p,Professional Services and Membership Organizations,300.0,Other
250000,20,Yes,No, 0.4% + 3p,Miscellaneous Stores,1505.0,Other
2000,23,No,No, 0.8% + 2p,Business Services,18.459130434782608,Other
300000,89,Yes,Yes, 0.42% + 2p,Professional Services and Membership Organizations,1459.4157303370785,Other
200000,20,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,1267.6,Other
30000,300,Yes,Yes, 0.8% + 2p,Business Services,252.80000000000004,Other
70000,60,No,Yes, 0.4% + 3p,Miscellaneous Stores,372.40000000000003,Other
10000,300,No,No, 1.69% + 0p,Business Services,168.99999999999997,Other
